storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
db77c3d3-7ea2-4178-91f1-fd1c0bb7cb3f,Cat wants to belong,One day two girls were walking home.,Karen the first girl said did you hear that noise?,It was something coming from the bushes.,It was a poor orange kitty that nobody wanted.,She meowed her way into the girl's heart and she took her home.
fd9a6b5f-fef5-4655-983a-4a4682406ba3,Phil plays soccer,Phil loves playing sports with his friends.,"All his friends love basketball, but Phil really likes soccer.",Phil invited all his friends to play soccer with him on Friday.,They all showed up and play soccer.,Now Phil's friends love playing soccer!
951fca52-e61d-45b2-8e93-c193d68fb385,Love Note,Cam wrote a love note to a pretty girl in his class.,He handed it to her as he walked to throw something away.,She opened it and immediately wrote back.,"Cam picked up her response, from her desk.",He read it and was happy she would sit with him at lunch.
839d49b9-0d40-4452-948f-cd3eaaba93d0,Skittles,I have a friend who fell in love with Skittles when we were five.,"He ate them every day, and would bring them in a container to my house.","He liked the red ones the best, so he'd give me all the rest.",We sat on the bed and ate them and drank chocolate milk.,We did this every day after school for 3 years.
39581438-dd10-4074-842c-733f24a1d375,Gambling,Joan went to the casino to try her luck.,She put $10 worth of quarters in the first slot machine she saw.,She didn't win anything and was very disappointed.,"On her way home, she found $10 on the pavement.","She smiled, took it, and went home with a light heart."
f085aab6-c13a-46d6-aca0-cf942b50577a,New Family,Jenn and Bill fell in love and got married.,"A few months later, Jenn found out that she was pregnant.",Bill was very excited and couldn't wait to be a father.,They found out they were having a baby boy.,Once the baby was born they named him Theodore.
e19867fe-9b77-4a56-934a-9fd00d4c802e,Lone Girl,Dessie wanted to meet a new mate.,She went through many dating sites to no avail.,"Finally, she gave up and went to the library.","Surprisingly, she met a handsome guy there and they exchanged numbers.","After a few weeks, they were together in a relationship."
78171fa9-c1a2-412d-a803-782fd522f770,New Job,I remember when I started working at my current job.,The first day was very scary.,I had never worked at a place like this before.,After a few weeks I got used to this sort of work.,"Now, I love working here and I don't want to leave."
234c402b-a087-40d0-b39e-79374fe1a755,Going Skiing,I stood at the ramp and looked down the mountain.,My heart began racing.,The instructor said some encouraging words to me.,"I calmed down, and started down the ramp.","By the time I got to the bottom, I was ready to go again."
6c96a437-6054-42f5-8e20-a97612614491,Prom Approach,Robert was always nervous when talking with girls.,Rob decided he wanted to ask Katie to the prom.,Rob spent thirty minutes rehearsing his speech for Katie.,"Rob finally approached Katie, his heart in his throat.","Rob asked her, and Katie said yes!"
b5995629-0c97-4563-9990-3d39f3164f77,My Disney Bag,I have a huge Disney bag that I bought five years ago.,"I've been using it ever since I bought it, and it hasn't even faded.",I keep it in my closet when I'm not using it that day.,"I want a new one, but I love this one too much.",I am keeping the bag to give to my daughter someday.
e63d5b31-d606-471b-8ba8-163bb396528d,The Kiss,Remy was on a date with a girl he really liked.,He was excited to get to know her.,"At the end of the night, he tried to kiss her.",He accidentally feel and knocked her over.,They didn't go out again.
51a192b3-9aff-46a7-8869-dd091f8ed72f,Seth Gets Married,Seth had always wanted to get married.,"However, he worried that he would never fall in love.",Eventually he met a nice woman who he liked very much.,They decided to get married.,Seth was happy to finally be getting married.
05f3c873-50e9-4ae4-9f5f-eda493843f81,Karen loses her kitty,Karen decided to buy a new kitty.,She was so in love with her kitty.,She took her everywhere.,One day she was out getting some milk for home.,When she returned the kitty wasn't home!
11dcdbe3-b3c1-47aa-9687-1ff3ce5eb884,Roy's new pup.,Roy was a retired construction worker who lived alone.,He had recently been widowed and was looking for some company.,One day Roy's son and his grandchildren showed up with a surprise.,The surprise was a new bulldog puppy!,"At first, Roy was nervous but he quickly fell in love with the dog."
0fad437c-14dd-46f8-bd3e-e4ccb20fc054,Jacob's New Business Venture,Jacob has always loved serving people food.,He loved when his parents hosted parties growing up.,Jacob's passion led him to open a bistro downtown.,He didn't do a good job in picking a chef to hire.,Now no one wants to eat there because the food isn't very good.
c1d44bf4-0ef5-455b-8a18-570cdb4241c5,Pottery Class,Jason decided to take a pottery class for a new hobby.,A man named John sat at the station next to his.,Jason and John grew close over the course of the semester.,They went to a bar together after their final exam.,John confessed his love to Jason.
98658d16-eed0-4b86-9c51-10b1162a01bb,The older man,Maria was in love with a man.,He was much older than her however.,Her parents disapproved of such a relationship.,Maria went with her heart.,And lived to marry this man at last.
fae681a9-9829-4fac-9c70-0d36003e5b6b,Stan Volunteers,Stan decides he would like to volunteer his time.,He begins serving food at his local soup kitchen.,At first Stan finds the experience uncomfortable.,"However, eventually he beings to love it.",Stan is glad that he has become a volunteer.
