storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
f3643541-c339-4377-851d-144ea400d551,Stepmother,Eric and his wife had a daughter named Meg.,Eric's wife passed away.,Eric and Meg were very sad.,Eric met a woman and married her 5 years after his wife died.,Meg is now happy with her new stepmother.
d61b69c7-7eca-4099-ade2-1a7e5a014a13,Bad makeup,Marnie was getting married.,"For her wedding, she needed her makeup done.",As a result she hired a makeup artist to help her.,"When the makeup artist was finished, marine looked at it.","She was horrified and ended up firing her,"
3ea38bec-1101-4a64-86fa-948904d33a2b,Reunited at the Reunion,Tom always wondered if he'd ever see Sue again.,She had decided to marry someone else and they had moved far away.,"Now, she was divorced and would be coming to the class reunion.",Tom and Sue spent most of the reunion talking with each other.,The two reunited lovebirds have been together ever since.
f085aab6-c13a-46d6-aca0-cf942b50577a,New Family,Jenn and Bill fell in love and got married.,"A few months later, Jenn found out that she was pregnant.",Bill was very excited and couldn't wait to be a father.,They found out they were having a baby boy.,Once the baby was born they named him Theodore.
e19867fe-9b77-4a56-934a-9fd00d4c802e,Lone Girl,Dessie wanted to meet a new mate.,She went through many dating sites to no avail.,"Finally, she gave up and went to the library.","Surprisingly, she met a handsome guy there and they exchanged numbers.","After a few weeks, they were together in a relationship."
1c83b064-ea44-403a-8953-499891ec1ddc,Best man needed,Lawrence was going to get married.,His life was going great.,Just one thing was missing.,He needed a best man.,He found his long lost best friend through Facebook and asked him.
1e25d802-72e1-4fc0-a8ac-2a83e223b2aa,Broken hearted,Mark did not want to go to work today.,"Yesterday, Mark was dumped by his girlfriend.","Mark was heartbroken, because he was going to propose.","Mark attempted to call her, but she would not answer.","Mark felt so sad, because he is now a single man."
db2ea7ec-cf7e-4fe3-8b5a-4d5eb31df93a,The Compromise,Justin and Melanie were moving in together.,Melanie adored cats and asked when they could adopt one.,Justin informed her he was badly allergic to cat fur.,Melanie was heartbroken and really wanted a feline companion.,"She found a hairless cat and brought it home, and Justin was fine."
f5e3ebdb-4a4e-49e0-821c-3cf9310be3a7,The Best Man,Larry was getting married in two weeks.,He had just one problem.,He didn't have a best man!,One day at work he saw an old best friend from college.,The two caught up together and Larry asked him to be his Best Man.
51a192b3-9aff-46a7-8869-dd091f8ed72f,Seth Gets Married,Seth had always wanted to get married.,"However, he worried that he would never fall in love.",Eventually he met a nice woman who he liked very much.,They decided to get married.,Seth was happy to finally be getting married.
48da047e-839f-4143-8fc5-10b21a789010,Better as friends,Allan and Fran have been married for 20 years.,They get along and consider each other as a best friend.,But they are no longer connecting as lovers.,They have mutually decided to get a divorce.,They both admit that they are better as friends.
393fa966-92a5-4923-bdc6-d2ae5120ef9a,The Couple,Jenna and Frank had been married a few years.,They would have terrible fights.,Jenna's friends all told her to dump him.,"One night, she decided they were right.",She told him to get out of their house.
80df831b-7d06-449a-90aa-802fee047c9d,Proposal,Tim and Lucy have been dating for six months.,"One day, Tim took her to the park.",He led her on a walk around the lake.,"As they got to the gazebo, he got down on one knee.",He proposed to her and she said yes.
9ab46cca-8fa9-4f95-9d5e-12a1c63c7134,Affair,A coworker told me someone in the office was having an affair.,He was married with two kids in college.,"I knew the man's wife, but said nothing.",His wife found evidence on Facebook and confronted the husband.,He ended the affair and went back to his wife.
b6fdf451-33e1-4da1-954e-c7ac64f6570f,Josh's Bad Day,Josh wanted to play video games instead of going to work.,"His wife hates when he does that, so he lied to her.","When she came home and found he hadn't gone to work, she left.",Josh's wife stayed at her mother's house that night.,"The next day, his wife asked him for a divorce."
620154e3-814f-455a-bd0d-ee9fa8f38b71,Wedding Musician,Barry was going to be married to his fiance in two weeks.,Barry desperately needed to find a violin player for the reception.,"After searching on Craigslist, Barry located a violin player.","After meeting with the player, Barry was happy with his player.",Barry could not wait to surprise his wife with the violin player.
940126cf-93e1-40dd-acdc-b78a62b51d1c,Bill goes shopping,Bill had recently gotten a divorce from his wife.,He had never really gone shopping as she took care of those things.,Bill had no idea where to start.,He was a little nervous about picking up what he needed and didn't.,Bill conquered his fears and went into the store to buy what he needed.
596181d6-c996-4c16-9ebc-a51da10f3b02,Tom and Melissa,Tom and Melissa are a married couple.,They desperately want a child but cannot conceive.,They decide they want to adopt a baby.,Tom and Melissa travel to Estonia to adopt a baby girl.,"They bring home their daughter, Angela."
6612e714-20cf-45e6-9198-e41d8080ac4c,Marcus Meets Someone,Marcus had always worried that he would be single for life.,He had wanted to meet a girlfriend but it never worked.,One day Marcus met a nice girl at the grocery store.,They started dating that week.,Marcus was happy that he was no longer single.
98658d16-eed0-4b86-9c51-10b1162a01bb,The older man,Maria was in love with a man.,He was much older than her however.,Her parents disapproved of such a relationship.,Maria went with her heart.,And lived to marry this man at last.
e771dc12-674d-440b-918f-e4b5690f79a6,Tiffany,Tiffany dated a drug dealer.,The drug dealer used Tiffany as a pawn in his scheme.,They both ended up being arrested for being involved in the crime.,The drug dealer was sentenced to 30 years in prison.,Tiffany was sentenced to 15 years as an accomplice.
bd5c9735-1496-4ac0-b1ec-c7858f72262b,Stan,Stan was lonely and wanted a friend.,He decided to go online to see if he could find one.,After entering a few chat rooms he finally found someone he liked.,Her name was mary and she seemed very nice when they met.,They really liked each other and ended up dating.
9ac07bfe-5dfe-4614-8474-dec4b299914a,Proposal,John and Cathy have been dating for 2 years.,They really love each other.,John decides he wants to marry Cathy.,He buys a diamond engagement ring.,Cathy answered yes when John asked her to marry him.
73359cc1-5ca5-4f59-92b5-333ccf0656b0,Wedding dress,Mary was getting married to Tom.,She could not afford to buy a wedding dress.,She bought a sewing machine and white fabric.,She sewed her own wedding dress.,Tom told Mary she looked beautiful in her wedding dress.
4104ca25-e7c5-42c7-8e7e-4d578a0a22b0,Betty,My daughter's good friend Betty lives in San Diego.,She had been dating a man there for three years.,They were living together and were getting engaged.,Last week she found him having a Snapchat affair.,She threw him out and gave him back the ring.
b42700a3-a6f2-4b56-aeaa-59b8758070f4,Stepparent Blues,Robbie's parents were divorced.,He did not like his mom's boyfriend.,"When they announced they'd be getting married, Robbie was upset.",His mom went through with the wedding anyways.,"After the wedding, he convinced his dad to let him move in with him."
0ac751b6-4174-4d17-aaa9-3a0be8e94919,The End of a Marriage,Georgia finally accepted the fact that her marriage would not improve.,She told David she wanted a divorce.,"David was somewhat sad, but he also was relieved.",David had been tired of the marriage for a long time.,"Now, they both are free to move on with their lives."
ebe6a1b7-21a5-467f-931f-9f3999f1b191,Young puppy,Barry recently lost his dog to a tragic accident.,Barry's coworkers knew how heartbroken he was over the loss.,"As Barry came into work, he saw an item moving in a box on his desk.",Barry burst into tears when he saw the new young puppy.,Barry was so touched by the gesture extended to him by his co workers.
5562f5e7-03be-4cc3-b154-ed5810cfcfad,"Finally, A Wedding Date Is Set",Crystal and Fred have been engaged for seven years.,They have finally set a wedding date for next summer.,People were starting to wonder if they would ever get married.,Crystal said she wasn't getting married until she was good and ready.,Their family and friends are looking forward to the nuptials.
fc9816ea-e993-43f7-822e-97baf6578f13,I'd Do X Just To Y With Her,Jordan went to his favorite burger joint.,He gave his usual order to an attractive woman with long blonde hair.,As he was eating his burger he found a strand of her hair in it!,Instead of being disgusted he was kind of turned on.,"He asked her on a date, and eventually they got married."
50e021fe-50b9-47e8-979b-20ea6ec3edf3,Crazy for this girl,Bill and Tonya had just started dating.,"She had acted very possessive at times, but Bill accepted it.","Soon, she started isolating Bill from his friends and family.",She had turned Bill into a full on hermit!,"Even though he loved her, he soon broke it off with her."
46362220-91e0-4fe8-91c8-e58f79b5ed00,Late Start.,Mary was running late.,She decided to take a shortcut to work.,She took a wrong turn on her route.,The wrong turn ended up being an even better route.,Marry got to work early.
1e0f8a19-fc39-489b-8342-709703d95d19,Marks heartbreak,Mark was so in love with his girlfriend.,Mark was going to propose to her tonight.,He took her out to the nicest place in town.,Mark got down on one knee and ask her to marry him.,She said no she stopped loving him months ago.
e05038a7-952d-4160-9929-c04ff63ea677,Cabbage Patch Doll,Cathy is an avid collector of Cabbage Patch Dolls.,"Recently, Cathy saw a rare doll for sale on Ebay.","Cathy put in an offer, and hoped she would win the bid.","However, Cathy lost the bid and someone else won.",Cathy was heartbroken that she lost the bid for the doll.
bc3204a7-31c8-4f8b-aca7-1fa240f028cf,The Separation,Ricky and Fonda have been married for 20 years.,"Lately, Ricky and Fonda haven't been getting along.",Ricky tells her that it is time for them to separate.,She moves into her sister's house.,Now Ricky lives alone and is happy.
40177a52-204d-418d-a9b1-6953197aec30,Staying Warm in the Minnesota Winter,Stacy had always hated winter and cold temperatures.,"However, since she had married Ron, she would be staying in Minnesota.",Ron surprised Stacy with a new floor heating system.,It runs with a boiler and keeps the floors toasty warm.,Stacy is truly impressed with this wonderful home improvement.
1f8db71e-c016-47ff-ab61-ff38667f4a6b,College Dating,Kirby and Melissa met in their college's school spirit group.,They were good friends for a few months.,They started to develop feelings for each other.,They started to date.,They were married three years later.
cfd764d6-b826-460a-994c-23972a7d3f13,Stan Gets Married,Stan was afraid that at his old age he would never find love.,One day a friend told him to try a singles event.,Stan met a beautiful woman there.,"After dating for a year, the decided to get married.",Stan was happy that he had found love.
b3bf86d1-a494-4e5e-bef9-8449cf075339,Fusion,Eliza and Tanner are getting married.,He is Chinese and she is Spanish.,They can't agree on the type of food to serve at the wedding.,They hire a famous caterer who presents a brilliant idea.,They decide to serve tapas and dim sum fusion cuisine.
4af7d708-d555-465e-84f6-2d02b6e8da49,Divorce,Tom and Mary were married to each other.,Tom was having an affair behind Mary's back.,"One day, Tom was in his bedroom with his mistress.",Mary came home and saw them together.,Tom and Mary had a divorce soon after.
59607bc9-fe7d-4be4-bf1a-3566ecf4d6e1,Mom,Matt and Sarah were married only a month ago.,They were so happy getting used to the married life.,At least they were happy until Matt's mom moved in.,She treated Matt and Sarah both like children.,Thanksgiving was awkward this year after Matt kicked her out.
